Розыгрыш;Дата проведения;Лототрон;Набор;Шар номер 1;Шар номер 2;Шар номер 3;Шар номер 4;Шар номер 5;Шар номер 6;победителей угадавших 3 номера;приз за 3 номеров;победителей угадавших 4 номера;приз за 4 номеров;победителей угадавших 5 номеров;приз за 5 номеров;победителей угадавших 6 номеров;приз за 6 номеров;
245;2003-08-13;Б;2;4;5;27;44;37;20;14838;5;846;73;22;2197;0;1700000;
244;2003-08-09;А;1;13;24;30;35;4;28;11938;5;636;99;12;4074;0;1600000;
243;2003-08-06;А;1;17;18;28;1;32;33;13592;5;695;86;11;4245;0;1500000;
242;2003-08-02;А;1;18;13;37;22;43;39;11923;5;719;78;3;14625;0;1375000;
241;2003-07-30;Б;1;24;5;1;35;26;21;16222;5;1070;49;25;1648;0;1250000;
240;2003-07-26;Б;1;36;32;29;28;7;2;12472;5;637;85;13;3263;0;1125000;
239;2003-07-23;А;3;19;13;20;2;22;4;13929;5;880;58;20;2003;0;1000000;
238;2003-07-19;Б;2;6;43;9;22;35;25;13244;5;852;63;13;3251;0;750000;
237;2003-07-16;Б;1;38;9;43;30;2;44;16155;5;867;90;9;6777;1;2300000;
236;2003-07-12;Б;4;38;28;40;16;13;11;18208;5;1042;71;27;2126;0;2200000;
235;2003-07-09;А;2;39;20;41;38;18;37;13587;5;738;104;11;5421;0;2100000;
234;2003-07-05;Б;1;34;22;12;35;11;41;16838;5;1092;64;28;1951;0;2000000;
233;2003-07-02;Б;4;25;24;29;27;4;42;12926;5;690;84;13;3492;0;1700000;
232;2003-06-28;Б;3;17;42;34;10;8;18;13415;5;820;63;18;2244;0;1600000;
231;2003-06-25;А;1;2;27;14;24;38;9;18686;5;1186;43;25;1607;0;1450000;
230;2003-06-21;Б;1;12;39;11;26;10;31;13460;5;688;80;16;2701;0;1300000;
229;2003-06-18;Б;1;45;17;9;32;41;28;14640;5;1039;46;32;1163;0;1150000;
228;2003-06-14;Б;3;15;30;39;20;32;38;10324;5;523;98;11;3636;0;1000000;
227;2003-06-11;Б;4;23;43;8;31;44;42;9889;5;519;99;8;5024;0;750000;
226;2003-06-07;А;4;13;40;41;15;3;7;18800;5;1385;43;34;1379;2;1830000;
225;2003-06-04;Б;4;6;23;45;38;31;8;12975;5;777;83;22;2295;0;1725000;
224;2003-05-31;А;1;32;8;31;14;28;19;15987;5;909;60;21;2025;0;1620000;
223;2003-05-28;Б;4;38;6;16;13;34;45;11633;5;625;96;9;5189;0;1520000;
222;2003-05-24;А;4;27;39;2;6;18;16;14618;5;937;58;23;1864;0;1425000;
221;2003-05-21;Б;3;33;22;28;15;39;19;16794;5;1052;50;25;1638;0;1333000;
220;2003-05-17;А;4;25;34;21;11;13;40;13725;5;854;62;15;2755;0;1250000;
219;2003-05-14;А;1;36;29;16;41;5;19;13296;5;768;68;12;3416;0;1160000;
218;2003-05-10;Б;4;21;14;35;2;5;7;14257;5;1515;28;36;923;0;1065000;
217;2003-05-07;А;1;16;23;36;6;39;14;13817;5;928;56;22;1858;0;1020000;
216;2003-05-03;Б;1;11;24;17;28;5;23;11601;5;850;45;17;1758;0;970000;
215;2003-04-30;А;2;10;18;20;43;36;24;9655;5;546;92;8;4886;0;930000;
214;2003-04-26;Б;4;42;44;18;2;23;43;9888;5;503;123;13;3710;0;890000;
213;2003-04-23;А;1;36;2;4;16;1;43;10580;5;525;109;5;8947;0;825000;
212;2003-04-19;Б;2;38;27;23;10;26;21;14718;5;928;56;11;3724;0;750000;
211;2003-04-16;Б;3;4;29;2;9;20;27;18689;5;1314;45;36;1280;1;1410000;
210;2003-04-12;А;2;31;24;27;25;35;36;12837;5;582;123;13;4300;0;1333000;
209;2003-04-09;Б;1;24;32;21;33;4;39;17004;5;942;77;15;3769;0;1250000;
208;2003-04-05;Б;3;4;14;18;40;11;35;17672;5;1099;58;31;1605;0;1160000;
207;2003-04-02;Б;4;34;31;33;19;12;22;15629;5;888;70;16;3043;0;1050000;
206;2003-03-29;Б;1;43;10;33;17;11;20;17760;5;1172;49;33;1375;0;950000;
205;2003-03-26;Б;1;11;27;26;25;35;6;13435;5;736;82;9;5205;0;850000;
204;2003-03-22;Б;2;5;6;28;16;38;2;15134;5;897;68;14;3402;0;750000;
203;2003-03-19;А;3;14;25;6;21;44;19;17189;5;964;65;19;2589;1;960000;
202;2003-03-15;А;4;19;28;4;15;45;1;16254;5;995;66;28;1838;0;850000;
201;2003-03-12;А;4;14;11;27;36;10;35;17775;5;1251;53;19;2719;0;750000;
200;2003-03-08;Б;1;37;14;22;36;2;1;23931;5;1174;112;22;4785;1;3000000;
199;2003-03-05;А;2;27;37;45;22;25;19;24195;5;1298;86;26;3449;0;2900000;
198;2003-03-01;А;2;7;11;4;5;36;19;25128;5;1453;72;25;3380;0;2820000;
197;2003-02-26;Б;1;32;23;45;17;30;39;20077;5;1163;88;15;5519;0;2750000;
196;2003-02-22;Б;4;4;39;25;29;30;23;21667;5;1243;82;29;2837;0;2660000;
195;2003-02-19;А;3;16;26;42;2;38;1;18152;5;1091;96;31;2724;0;2570000;
194;2003-02-15;Б;2;38;8;31;20;24;34;20537;5;1351;75;42;1955;0;2500000;
193;2003-02-12;А;4;18;44;2;11;32;17;21744;5;1296;74;30;2570;0;2400000;
192;2003-02-08;А;2;5;13;34;3;38;23;23254;5;1465;61;32;2261;0;2300000;
191;2003-02-05;Б;2;25;44;20;8;39;26;20685;5;1142;82;20;3767;0;2222000;
190;2003-02-01;А;3;9;17;1;19;10;28;24885;5;1746;46;36;1794;0;2150000;
189;2003-01-29;Б;1;39;43;23;11;24;22;19066;5;1126;78;24;2928;0;2080000;
188;2003-01-25;Б;1;27;36;14;44;22;32;22930;5;1650;48;47;1363;0;2000000;
187;2003-01-22;А;2;39;40;5;37;42;31;14894;5;912;94;25;2762;0;1930000;
186;2003-01-18;Б;2;40;9;18;10;24;39;16020;5;837;88;19;3134;0;1860000;
185;2003-01-15;А;3;39;26;43;10;17;38;15864;5;880;76;18;2985;0;1800000;
184;2003-01-11;А;3;28;20;25;42;10;35;14391;5;815;83;18;3029;0;1725000;
183;2003-01-08;А;4;24;14;33;30;20;13;10939;5;609;98;10;4816;0;1650000;
182;2003-01-04;Б;3;37;29;35;22;43;2;15773;5;1057;60;17;3030;0;1580000;
181;2003-01-01;Б;2;40;33;44;42;20;3;11469;5;769;67;9;4632;0;1520000;
180;2002-12-28;А;1;44;42;41;19;11;8;18482;5;984;93;25;2929;0;1500000;
179;2002-12-25;Б;3;14;13;1;9;20;33;18610;5;1024;67;22;2496;0;1330000;
178;2002-12-21;Б;2;36;5;44;42;17;23;15542;5;938;72;14;3878;0;1250000;
177;2002-12-18;Б;2;30;6;31;10;34;19;13604;5;846;78;11;4837;0;1180000;
176;2002-12-14;Б;2;24;22;30;1;27;9;16766;5;940;68;18;2854;0;1111000;
175;2002-12-11;А;3;6;8;29;21;31;4;14634;5;907;66;27;1778;0;1050000;
174;2002-12-07;Б;3;15;39;6;23;45;24;14409;5;932;61;23;2002;0;960000;
173;2002-12-04;А;3;14;13;9;40;11;23;13965;5;845;63;14;3057;0;890000;
172;2002-11-30;Б;2;5;2;13;32;40;35;11642;5;644;92;17;2795;0;820000;
171;2002-11-27;Б;2;5;42;6;43;17;8;13159;5;715;79;10;4527;0;750000;
170;2002-11-23;А;2;40;28;2;7;41;4;17719;5;1010;69;18;3119;1;1600000;
169;2002-11-20;Б;2;22;20;13;39;17;2;18409;5;1134;60;31;1764;0;1500000;
168;2002-11-16;Б;1;21;39;8;43;44;5;14774;5;778;91;14;4063;0;1410000;
167;2002-11-13;А;4;45;5;9;14;8;36;17427;5;1062;64;16;3442;0;1333000;
166;2002-11-09;Б;4;18;30;39;3;24;26;13373;5;779;92;18;3185;0;1250000;
165;2002-11-06;Б;2;43;18;6;30;32;11;13636;5;871;77;19;2853;0;1170000;
164;2002-11-02;А;1;9;40;42;34;44;20;16630;5;1070;60;19;2724;0;1100000;
163;2002-10-30;А;1;25;35;8;33;37;6;15959;5;1307;47;57;878;0;1000000;
162;2002-10-26;Б;1;29;24;5;14;19;38;20485;5;1459;48;43;1318;1;2180000;
161;2002-10-23;Б;2;18;10;44;27;4;13;16777;5;976;78;28;2197;0;2090000;
160;2002-10-19;Б;3;28;30;22;43;27;29;15369;5;727;110;10;6414;0;2000000;
159;2002-10-16;А;2;26;41;20;36;44;5;13488;5;702;105;9;6565;0;1500000;
158;2002-10-12;Б;3;39;20;12;41;16;4;14531;5;993;70;24;2325;0;1000000;
157;2002-10-09;А;4;23;34;44;16;11;38;16047;5;1076;67;43;1343;2;1500000;
156;2002-10-05;А;3;21;40;34;19;22;45;16210;5;908;70;33;1552;0;1000000;
155;2002-10-02;Б;4;39;31;7;44;27;3;17004;5;1045;69;14;4170;1;1000000;
154;2002-09-28;А;2;4;19;44;25;7;17;29960;5;1855;62;56;1650;1;3750000;
153;2002-09-25;Б;4;20;10;45;14;43;11;24404;5;1226;101;27;3686;0;3660000;
152;2002-09-21;А;4;14;22;43;29;37;20;26903;5;1807;64;37;2511;0;3575000;
151;2002-09-18;Б;1;7;17;42;29;41;31;27379;5;1559;75;33;2846;0;3500000;
150;2002-09-14;Б;3;16;43;14;37;15;31;22022;5;1265;94;29;3284;0;3400000;
149;2002-09-11;А;1;25;41;15;44;28;33;27154;5;2000;59;53;1801;0;3333000;
148;2002-09-07;А;3;38;45;44;25;32;1;18894;5;948;120;16;5727;0;3270000;
147;2002-09-04;Б;3;31;35;22;4;36;18;22868;5;1363;82;29;3108;0;3200000;
146;2002-08-31;Б;1;7;22;24;14;19;32;25963;5;1549;63;34;2327;0;3140000;
145;2002-08-28;А;4;37;15;23;43;19;14;23758;5;1498;64;44;1745;0;3065000;
144;2002-08-24;А;1;37;32;35;40;21;17;23012;5;1629;56;42;1740;0;3000000;
143;2002-08-21;А;2;30;22;2;45;3;32;21567;5;1319;69;29;2515;0;2900000;
142;2002-08-17;А;1;1;29;37;20;26;44;15021;5;789;119;11;6867;0;2820000;
141;2002-08-14;Б;3;19;40;9;29;17;37;24848;5;1739;46;36;1813;0;2750000;
140;2002-08-10;Б;3;36;23;15;8;41;26;21052;5;1506;54;44;1502;0;2666000;
139;2002-08-07;А;4;10;6;8;23;45;12;19300;5;1130;73;21;3173;0;2570000;
138;2002-08-03;Б;2;39;16;45;2;32;37;17200;5;886;105;12;6234;0;2500000;
137;2002-07-31;А;4;2;15;6;24;31;9;18433;5;1175;59;18;3120;0;2400000;
136;2002-07-27;А;2;10;37;5;9;15;43;15683;5;856;89;9;6810;0;2300000;
135;2002-07-24;Б;4;27;5;28;35;24;40;17158;5;951;80;8;7644;0;2222000;
134;2002-07-20;А;2;40;37;26;45;19;44;11807;5;663;110;12;4876;0;2150000;
133;2002-07-17;А;3;4;19;14;25;22;9;19371;5;1511;35;55;776;0;2080000;
132;2002-07-13;А;1;22;3;10;29;27;18;18503;5;1265;53;39;1396;0;2000000;
131;2002-07-10;А;2;10;45;44;5;17;38;13254;5;787;72;20;2292;0;1900000;
130;2002-07-06;А;1;12;36;15;31;45;3;10169;5;556;98;6;7284;0;1830000;
129;2002-07-03;Б;4;18;28;30;3;24;23;13082;5;765;68;13;3224;0;1765000;
128;2002-06-29;А;1;37;19;35;42;33;36;8240;5;430;118;1;40710;0;1700000;
127;2002-06-26;Б;2;45;20;43;9;29;5;11569;5;679;74;10;4024;0;1625000;
126;2002-06-22;А;4;11;45;21;13;42;41;11227;5;649;86;12;3740;0;1555000;
125;2002-06-19;Б;2;25;17;19;43;31;37;11439;5;813;70;55;830;0;1480000;
124;2002-06-15;Б;1;18;43;36;13;2;44;9369;5;538;110;7;6780;0;1400000;
123;2002-06-12;Б;3;11;10;17;39;3;38;15662;5;914;56;28;1476;0;1320000;
122;2002-06-08;А;1;22;27;19;16;43;1;11722;5;576;95;10;4396;0;1250000;
121;2002-06-05;А;2;45;24;38;36;14;26;8832;5;465;119;9;4925;0;1170000;
120;2002-06-01;Б;2;23;45;24;44;16;18;8570;5;449;117;12;3515;0;1111000;
119;2002-05-29;А;4;18;5;21;43;24;11;9644;5;547;81;8;4448;0;1035000;
118;2002-05-25;А;3;14;32;15;37;34;29;10031;5;570;78;5;7148;0;960000;
117;2002-05-22;Б;2;20;4;13;8;19;21;13101;5;789;55;16;2194;0;890000;
116;2002-05-18;А;2;22;25;21;34;14;39;11378;5;681;62;22;1555;0;820000;
115;2002-05-15;Б;2;42;41;43;32;17;19;7733;5;357;131;9;4185;0;750000;
114;2002-05-11;Б;3;26;6;42;10;36;22;9946;5;604;78;12;3166;1;1280000;
113;2002-05-08;А;1;5;12;3;30;17;8;14193;5;1023;42;26;1323;0;1230000;
112;2002-05-04;А;4;34;14;23;26;29;40;11609;5;748;58;16;2187;0;1185000;
111;2002-05-01;А;3;42;24;28;17;27;21;10535;5;526;83;11;3201;0;1140000;
110;2002-04-27;А;2;15;38;21;19;1;5;13277;5;850;61;15;2765;0;1090000;
109;2002-04-24;А;2;11;16;45;14;30;19;11548;5;601;91;10;4392;0;1000000;
108;2002-04-20;А;1;22;31;34;39;12;41;11061;5;623;90;11;4086;0;900000;
107;2002-04-17;Б;4;11;6;9;37;29;34;14130;5;792;70;16;2779;0;820000;
106;2002-04-13;Б;3;4;7;27;3;2;16;20000;5;1402;41;18;2600;0;750000;
105;2002-04-10;Б;1;42;44;9;4;5;6;18340;5;972;93;12;6061;1;2660000;
104;2002-04-06;Б;3;44;45;23;3;1;10;16760;5;1164;73;30;2291;0;2570000;
103;2002-04-03;Б;3;38;9;5;17;6;16;19599;5;1138;56;15;3402;0;2500000;
102;2002-03-30;А;4;1;14;19;10;44;23;13961;5;830;91;17;3563;0;2425000;
101;2002-03-27;Б;4;43;40;10;39;44;4;13228;5;720;114;9;7318;0;2360000;
100;2002-03-23;А;1;45;6;3;17;30;19;22691;5;1564;54;41;1667;0;2300000;
99;2002-03-20;Б;1;2;40;1;16;21;22;16435;5;874;86;7;8684;0;2220000;
98;2002-03-16;А;1;8;4;36;43;23;40;14324;5;833;78;16;3272;0;2155000;
97;2002-03-13;Б;1;2;24;14;38;5;12;14951;5;902;74;23;2328;0;2100000;
96;2002-03-09;Б;1;28;20;2;25;16;9;17090;5;1210;48;19;2467;0;2040000;
95;2002-03-06;Б;3;40;11;33;29;17;34;23780;5;1320;74;16;4899;0;2000000;
94;2002-03-02;А;3;3;24;36;30;40;20;13576;5;797;79;15;3384;0;1800000;
93;2002-02-27;А;2;17;39;38;22;42;16;10896;5;476;120;7;6554;0;1725000;
92;2002-02-23;Б;2;34;12;32;25;5;28;11989;5;706;83;15;3145;0;1660000;
91;2002-02-20;Б;4;14;38;27;17;29;12;15741;5;1275;43;31;1435;0;1600000;
90;2002-02-16;А;3;41;10;19;27;21;29;17433;5;1234;43;26;1668;0;1535000;
89;2002-02-13;А;4;22;18;6;14;34;19;14726;5;917;60;12;3677;0;1475000;
88;2002-02-09;Б;1;36;30;5;40;38;8;12068;5;677;86;11;4260;0;1420000;
87;2002-02-06;А;2;38;24;23;20;31;9;13289;5;762;71;15;2908;0;1365000;
86;2002-02-02;Б;2;1;25;31;35;12;4;11271;5;630;89;7;6448;0;1300000;
85;2002-01-30;А;2;11;9;33;10;1;34;11581;5;647;84;15;2913;0;1230000;
84;2002-01-26;Б;3;26;1;36;24;28;32;10712;5;645;88;16;2867;0;1170000;
83;2002-01-23;Б;4;45;18;26;16;37;4;9689;5;550;103;5;9108;0;1111000;
82;2002-01-19;А;4;4;26;19;39;40;44;11941;5;642;93;11;4346;0;1055000;
81;2002-01-16;Б;1;27;7;20;22;33;21;18445;5;1295;36;26;1449;0;1000000;
80;2002-01-12;А;4;39;4;34;35;20;11;13898;5;805;77;20;2487;1;1950000;
79;2002-01-09;А;1;3;24;42;6;17;11;11933;5;744;74;14;3173;0;1900000;
78;2002-01-05;А;2;9;14;23;6;38;10;15945;5;1043;54;21;2179;0;1845000;
77;2002-01-02;Б;2;18;42;16;11;31;38;8323;5;400;111;10;3578;0;1800000;
76;2001-12-29;Б;4;29;14;10;26;16;11;25550;5;1573;55;34;2038;0;1750000;
75;2001-12-26;Б;1;6;44;45;30;19;5;11709;5;566;128;7;8287;0;1500000;
74;2001-12-22;Б;4;41;30;5;25;29;21;16144;5;1035;59;16;3067;0;1000000;
73;2001-12-19;А;1;3;37;1;28;31;43;12818;5;669;117;12;5236;1;2500000;
72;2001-12-15;Б;4;23;4;1;39;22;25;13226;5;692;91;16;3156;0;2250000;
71;2001-12-12;Б;3;37;9;5;19;10;30;12945;5;793;73;16;2912;0;2100000;
70;2001-12-08;А;4;26;37;8;36;34;39;11973;5;753;85;14;3673;0;2000000;
69;2001-12-05;Б;2;25;2;34;8;24;14;11863;5;662;88;9;5190;0;1880000;
68;2001-12-01;Б;3;43;35;14;12;11;10;13137;5;693;86;10;4800;0;1780000;
67;2001-11-28;А;1;30;40;21;15;23;29;14805;5;751;77;8;5796;0;1690000;
66;2001-11-24;А;2;39;37;25;22;38;41;13744;5;889;68;18;2708;0;1600000;
65;2001-11-21;А;2;26;40;38;29;22;24;12609;5;792;79;12;4210;0;1500000;
64;2001-11-17;Б;4;34;27;4;5;40;14;14717;5;945;58;25;1759;0;1410000;
63;2001-11-14;Б;4;30;6;17;39;15;18;13488;5;828;70;10;4653;0;1325000;
62;2001-11-10;А;1;27;31;37;44;30;19;11420;5;523;121;5;10132;0;1250000;
61;2001-11-07;Б;2;37;38;6;25;43;35;9418;5;464;131;4;12194;0;1180000;
60;2001-11-03;Б;4;30;25;44;36;22;43;8945;5;403;164;0;0;0;1100000;
59;2001-10-31;Б;4;24;42;32;6;17;9;14356;5;919;65;21;2276;0;1000000;
58;2001-10-27;А;1;9;37;32;39;7;17;25678;5;1604;58;35;2151;1;3800000;
57;2001-10-24;Б;1;4;25;22;32;38;43;17167;5;848;119;9;9016;0;3640000;
56;2001-10-20;А;1;38;31;3;15;18;30;22472;5;1108;108;18;5357;0;3500000;
55;2001-10-17;Б;1;37;31;9;41;26;14;26946;5;1895;55;39;2172;0;3330000;
54;2001-10-13;Б;4;17;15;35;21;7;38;33753;5;2302;43;57;1420;0;3200000;
53;2001-10-10;Б;1;17;44;4;45;3;15;24920;5;1506;72;19;4620;0;3120000;
52;2001-10-06;А;3;18;31;21;41;9;34;26003;5;1573;66;44;1905;0;3060000;
51;2001-10-03;А;3;36;29;26;41;33;31;23468;5;1211;112;19;5740;0;3000000;
50;2001-09-29;А;1;10;12;19;40;22;25;17770;5;1165;72;25;2715;0;2820000;
49;2001-09-26;А;3;19;34;4;41;42;18;13567;5;688;124;16;4279;0;2710000;
48;2001-09-22;Б;1;2;22;34;43;4;23;18819;5;1067;80;22;3136;0;2600000;
47;2001-09-19;Б;3;19;12;34;35;4;31;16543;5;965;89;19;3651;0;2500000;
46;2001-09-15;А;1;35;29;26;21;3;33;22759;5;1302;56;23;2541;0;2370000;
45;2001-09-12;А;3;29;21;2;17;22;32;23434;5;1599;43;38;1467;0;2275000;
44;2001-09-08;А;2;33;23;9;25;8;31;20978;5;1356;55;25;2411;0;2180000;
43;2001-09-05;А;2;6;39;19;31;9;14;16939;5;1054;67;29;1956;0;2090000;
42;2001-09-01;Б;1;45;28;17;40;3;6;18029;5;1144;64;13;4551;0;2000000;
41;2001-08-29;А;2;42;1;41;21;23;24;12606;5;634;108;15;3676;0;1930000;
40;2001-08-25;Б;3;4;3;45;20;39;17;12427;5;754;73;18;2451;0;1860000;
39;2001-08-22;Б;2;5;28;14;1;35;3;17339;5;1206;48;22;2123;0;1800000;
38;2001-08-18;А;3;14;30;19;12;35;33;12405;5;748;78;14;3338;0;1725000;
37;2001-08-15;Б;3;27;10;29;31;25;33;12547;5;684;83;15;3047;0;1650000;
36;2001-08-11;А;4;13;43;7;17;14;37;14036;5;835;61;14;2956;0;1580000;
35;2001-08-08;А;2;29;10;9;16;42;40;12880;5;746;72;15;2875;0;1520000;
34;2001-08-04;Б;4;6;8;40;21;5;1;13716;5;796;61;9;4320;0;1460000;
33;2001-08-01;Б;1;39;45;35;15;27;43;11741;5;861;58;19;2112;0;1400000;
32;2001-07-28;А;4;43;19;32;8;9;15;14265;5;993;45;24;1500;0;1333000;
31;2001-07-25;Б;3;20;27;18;23;35;22;12341;5;746;59;7;5058;0;1275000;
30;2001-07-21;А;2;14;41;3;13;10;1;10109;5;522;86;10;3600;0;1220000;
29;2001-07-18;Б;3;44;38;30;26;16;7;9676;5;603;69;18;1857;0;1160000;
28;2001-07-14;Б;4;9;14;20;31;25;28;10006;5;636;66;25;1349;0;1100000;
27;2001-07-11;Б;3;25;12;5;10;22;44;9996;5;545;70;13;2376;0;1050000;
26;2001-07-07;А;2;28;25;38;8;41;24;9541;5;573;79;13;2816;0;1000000;
25;2001-07-04;Б;3;14;45;8;35;39;3;6989;5;386;63;7;2811;0;713000;
24;2001-06-30;А;3;29;1;42;34;38;26;4196;5;248;92;5;3680;0;686000;
23;2001-06-27;Б;2;24;22;38;35;13;26;6141;5;405;61;18;1104;0;655000;
22;2001-06-23;Б;2;9;2;44;31;8;29;5965;5;307;83;7;2923;0;624000;
21;2001-06-20;А;2;33;16;40;37;6;25;4919;5;278;93;6;3457;0;593000;
20;2001-06-16;Б;2;36;21;4;19;32;37;5427;5;289;88;5;4108;0;561000;
19;2001-06-13;А;4;31;23;43;26;7;27;5574;5;305;83;5;4058;0;531000;
18;2001-06-09;Б;4;14;20;24;39;9;6;5968;5;337;69;8;2353;0;500000;
17;2001-06-06;А;3;41;17;26;37;14;35;5027;5;296;77;5;3653;1;573000;
16;2001-06-02;Б;2;35;16;45;14;33;15;5364;5;360;60;10;1755;0;536000;
15;2001-05-30;Б;4;18;23;37;5;32;1;4713;5;262;92;3;6483;0;500000;
14;2001-05-26;Б;2;35;23;10;33;19;15;7447;5;525;47;23;859;1;750000;
13;2001-05-23;Б;2;13;23;4;35;5;15;7230;5;476;50;9;2123;0;725000;
12;2001-05-19;А;4;9;8;32;23;11;38;5973;5;352;60;7;2422;0;700000;
11;2001-05-16;Б;4;9;43;28;40;2;23;4837;5;300;69;6;2798;0;680000;
10;2001-05-12;А;3;39;22;43;14;28;42;3960;5;215;93;4;4023;0;660000;
9;2001-05-09;Б;3;42;41;28;21;18;29;3832;5;159;115;3;4894;0;640000;
8;2001-05-05;А;1;15;8;14;20;29;36;5056;5;472;40;6;2562;0;620000;
7;2001-05-02;Б;1;1;38;27;44;3;17;2884;5;183;60;2;4463;0;600000;
6;2001-04-28;Б;2;2;5;32;19;28;11;5974;5;413;50;11;1527;0;580000;
5;2001-04-25;Б;4;39;11;10;13;26;31;5231;5;315;63;4;3987;0;560000;
4;2001-04-21;Б;2;15;5;40;31;8;12;5147;5;305;64;8;1965;0;540000;
3;2001-04-18;А;1;9;43;45;20;25;38;3181;5;193;97;4;3757;0;520000;
2;2001-04-14;Б;2;41;43;3;45;21;15;4500;5;248;75;3;4994;0;500000;
1;2001-04-11;А;2;27;1;10;3;4;9;4911;5;362;39;10;1147;1;750000;
;
